ID Name,Red,Green,Blue,Alpha,Hexadecimal,Description
RAL1034,239,169,074,1,#EFA94A,Pastelyellow
RAL6000,049,102,080,1,#316650,Patinagreen
RAL4012,108,104,129,1,#6C6874,Pearlblackberry
RAL8029,118,060,040,1,#763C28,Pearlcopper
RAL9023,130,130,130,1,#828282,Pearldarkgrey
RAL5025,042,100,120,1,#2A6478,Pearlgentianblue
RAL6035,028,084,045,1,#1C542D,Pearlgreen
RAL9022,156,156,156,1,#9C9C9C,Pearllightgrey
RAL7048,137,129,118,1,#898176,Pearlmousegrey
RAL5026,016,044,084,1,#102C54,Pearlnightblue
RAL6036,022,053,055,1,#193737,Pearlopalgreen
RAL4011,134,115,161,1,#8673A1,Pearlviolet
RAL1035,106,093,077,1,#6A5D4D,Pearlbeige
RAL1036,112,083,053,1,#705335,Pearlgold
RAL2013,195,088,049,1,#C35831,Pearlorange
RAL3033,180,076,067,1,#B44C43,Pearlpink
RAL3032,114,020,034,1,#721422,Pearlrubyred
RAL7032,184,183,153,1,#B8B799,Pebblegrey
RAL5014,096,111,140,1,#606E8C,Pigeonblue
RAL6028,044,085,069,1,#2C5545,Pinegreen
RAL7036,127,118,121,1,#7F7679,Platinumgrey
RAL2004,244,070,017,1,#F44611,Pureorange
RAL9010,255,255,255,1,#FFFFFF,Purewhite
RAL3028,231,037,018,1,#E72512,Purered
RAL6037,036,231,017,1,#24E711,Puregreen
RAL3004,117,021,030,1,#75151E,Purplered
RAL4007,074,025,044,1,#4A192C,Purpleviolet
RAL7039,108,105,096,1,#6C6960,Quartzgrey
RAL1021,243,218,011,1,#F3DA0B,Rapeyellow
RAL3027,197,029,052,1,#C51D34,Raspberryred
RAL8012,089,035,033,1,#592321,Redbrown
RAL2001,201,060,032,1,#C93C20,Redorange
RAL4001,222,076,138,1,#6D3F5B,Redlilac
RAL4002,146,043,062,1,#922B3E,Redviolet
RAL6013,108,113,086,1,#6C7156,Reedgreen
RAL6011,088,114,070,1,#587246,Resedagreen
RAL3017,230,050,068,1,#E63244,Rose
RAL3003,155,017,030,1,#9B111E,Rubyred
RAL1017,245,208,051,1,#F5D033,Saffronyellow
RAL3022,217,080,048,1,#D95030,Salmonpink
RAL2012,235,106,014,1,#E55137,Salmonrange
RAL1002,198,166,100,1,#C6A664,Sandyellow
RAL5003,029,030,051,1,#1D1E33,Saphireblue
RAL8014,056,044,030,1,#382C1E,Sepiabrown
RAL9004,040,040,040,1,#282828,Signalblack
RAL5005,030,045,110,1,#1E2460,Signalblue
RAL8002,108,059,042,1,#6C3B2A,Signalbrown
RAL6032,049,127,067,1,#317F43,Signalgreen
RAL7004,150,153,146,1,#969992,Signalgrey
RAL2010,216,075,032,1,#D84B20,Signalorange
